Country,Code,Indicator,IndicatorCode,Year,Value
Kyrgyz Republic,KGZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.361294465627196
Cambodia,KHM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Kiribati,KIR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
St. Kitts and Nevis,KNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
"Korea, Rep.",KOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Kuwait,KWT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,38.3612605068513
Latin America & Caribbean (excluding high income),LAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.32410348050261
Lao PDR,LAO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Lebanon,LBN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Libya,LBY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,27.3239543485611
St. Lucia,LCA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Latin America & Caribbean,LCN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.83266412982158
Least developed countries: UN classification,LDC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.96434020677364
Low income,LIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.146626087311997
Sri Lanka,LKA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Lower middle income,LMC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,4.0189243759428
Low & middle income,LMY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.5513855130973
Lesotho,LSO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Late-demographic dividend,LTE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.33705579363834
Lithuania,LTU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.105593180892669
Luxembourg,LUX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Latvia,LVA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
"Macao SAR, China",MAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Morocco,MAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0037026537555462
Moldova,MDA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0172353909590299
Madagascar,MDG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Maldives,MDV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Middle East & North Africa,MEA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,15.5685799031095
Mexico,MEX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.72261805092943
Middle income,MIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.51823006739623
North Macedonia,MKD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Mali,MLI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Malta,MLT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Myanmar,MMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0262643351367101
Middle East & North Africa (excluding high income),MNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,12.0348649947419
Mongolia,MNG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Mozambique,MOZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Mauritania,MRT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Mauritius,MUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Malawi,MWI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Malaysia,MYS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.16541924576183
North America,NAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.265847105732919
Namibia,NAM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
New Caledonia,NCL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Niger,NER,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Nigeria,NGA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,13.96589672137
Nicaragua,NIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Netherlands,NLD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0353211292211045
Norway,NOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,5.44936879578188
Nepal,NPL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
New Zealand,NZL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.393299189735628
OECD members,OED,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.242287162700102
Oman,OMN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,33.2964226419187
Other small states,OSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,8.84696686911478
Pakistan,PAK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.511788876776305
Panama,PAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Peru,PER,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.893075983690007
Philippines,PHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0048065939947896
Papua New Guinea,PNG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,7.33924531234199
Poland,POL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0105381489095833
Pre-demographic dividend,PRE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,9.2255509014594
Puerto Rico,PRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Portugal,PRT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Paraguay,PRY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
West Bank and Gaza,PSE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Pacific island small states,PSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Post-demographic dividend,PST,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.184751590163219
French Polynesia,PYF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Qatar,QAT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,28.2344626874838
Romania,ROU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.05189191360627
Russian Federation,RUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,4.43904973795772
Rwanda,RWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
South Asia,SAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.750642991757141
Saudi Arabia,SAU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,29.2233611171459
Sudan,SDN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.163915124462306
Senegal,SEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0015316669401933
Singapore,SGP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Solomon Islands,SLB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Sierra Leone,SLE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
El Salvador,SLV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Serbia,SRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.217502196340995
Sub-Saharan Africa (excluding high income),SSA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.42194082306569
Sub-Saharan Africa,SSF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.41713982081545
Small states,SST,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,6.73757113077078
Suriname,SUR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,4.49293940629231
Slovak Republic,SVK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0130253838971116
Slovenia,SVN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0002715767560257
Sweden,SWE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Eswatini,SWZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Seychelles,SYC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Syrian Arab Republic,SYR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,4.9018565110636
Chad,TCD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.66462457105828
Europe & Central Asia (IDA & IBRD countries),TEC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.22592346947383
Togo,TGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Thailand,THA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.216631061176126
Tajikistan,TJK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.157573878038665
Turkmenistan,TKM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,12.3487046121829
Latin America & the Caribbean (IDA & IBRD countries),TLA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.89677993075468
Middle East & North Africa (IDA & IBRD countries),TMN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,12.1357201070723
Tonga,TON,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
South Asia (IDA & IBRD),TSA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.750642991757141
Sub-Saharan Africa (IDA & IBRD countries),TSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.41713982081544
Trinidad and Tobago,TTO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,9.48827368829201
Tunisia,TUN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,2.34740018610749
Turkiye,TUR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0998252177938123
Tuvalu,TUV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Tanzania,TZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Uganda,UGA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Ukraine,UKR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.321300658318471
Upper middle income,UMC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,1.98472030481658
Uruguay,URY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
United States,USA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.220512610533995
Uzbekistan,UZB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.43772733888216
St. Vincent and the Grenadines,VCT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
"Venezuela, RB",VEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,16.9670014554983
Vietnam,VNM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,3.18156161708092
Vanuatu,VUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
World,WLD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.920296302002952
Samoa,WSM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
"Yemen, Rep.",YEM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,30.7271756726449
South Africa,ZAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0621255269316217
Zambia,ZMB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Zimbabwe,ZWE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1996,0.0
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Africa Eastern and Southern,AFE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.440040341282896
Africa Western and Central,AFW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,3.12194115871638
Angola,AGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,15.938706379818
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.175060609388419
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,11.9399131857933
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,11.2204137423564
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.639158899601474
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.312684422414137
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0066540285197764
Azerbaijan,AZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,3.65932253834638
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0577979903972448
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0090316711452434
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0037654003038615
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,10.9558507799593
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Bosnia and Herzegovina,BIH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Belarus,BLR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.169629917317501
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.929678395588174
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.253047006650534
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.128197177699047
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,8.90468928578523
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.364031497351259
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0327873239846051
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0224229879224741
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.716282415069305
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0752595569448476
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.51970347845138
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.612696376242461
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,19.2003394436034
Colombia,COL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.7769360408605
Comoros,COM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Cabo Verde,CPV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Costa Rica,CRI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Caribbean small states,CSS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.00304594085969
Cuba,CUB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.271877491999732
Cyprus,CYP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Czechia,CZE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0038273936159686
Germany,DEU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0018710567142535
Djibouti,DJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Dominica,DMA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Denmark,DNK,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0951270278529695
Dominican Republic,DOM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Algeria,DZA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,9.21421265506019
East Asia & Pacific (excluding high income),EAP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.93744904704684
Early-demographic dividend,EAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,2.8848213181878
East Asia & Pacific,EAS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.218767300857265
Europe & Central Asia (excluding high income),ECA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.771349674897629
Europe & Central Asia,ECS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0922410656721151
Ecuador,ECU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,3.02570458425672
"Egypt, Arab Rep.",EGY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,3.55860854662243
Euro area,EMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0030522535923707
Eritrea,ERI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Spain,ESP,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0012571939237162
Estonia,EST,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0135613301890747
Ethiopia,ETH,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
European Union,EUU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0066276278242203
Fragile and conflict affected situations,FCS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,6.75409552489305
Finland,FIN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Fiji,FJI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
France,FRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0016268287682597
Faroe Islands,FRO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
"Micronesia, Fed. Sts.",FSM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Gabon,GAB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,10.6793380232855
United Kingdom,GBR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.112148869506467
Georgia,GEO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0465955181385442
Ghana,GHA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0948402674655158
Guinea,GIN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
"Gambia, The",GMB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Guinea-Bissau,GNB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Equatorial Guinea,GNQ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,31.7724441189678
Greece,GRC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0031900186832865
Grenada,GRD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Greenland,GRL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Guatemala,GTM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.276588434712433
Guyana,GUY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
High income,HIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.266782729810424
"Hong Kong SAR, China",HKG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Honduras,HND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Heavily indebted poor countries (HIPC),HPC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.448088199457963
Croatia,HRV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0845087839189469
Haiti,HTI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Hungary,HUN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0377645314439996
IBRD only,IBD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.42115977453741
IDA & IBRD total,IBT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.43659461975803
IDA total,IDA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.62363401242198
IDA blend,IDB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,2.25074567063647
Indonesia,IDN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,3.64854826871392
IDA only,IDX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.23777008427529
India,IND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.491671716345609
Ireland,IRL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
"Iran, Islamic Rep.",IRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,11.9597813760333
Iraq,IRQ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,37.7547494763046
Iceland,ISL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Israel,ISR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0003150978742245
Italy,ITA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0065038150513243
Jamaica,JAM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Jordan,JOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0018302675452334
Japan,JPN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0005034551261947
Kazakhstan,KAZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.72572473777586
Kenya,KEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Kyrgyz Republic,KGZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0686958324012888
Cambodia,KHM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Kiribati,KIR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
St. Kitts and Nevis,KNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
"Korea, Rep.",KOR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Kuwait,KWT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,29.1049534792921
Latin America & Caribbean (excluding high income),LAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.712123887554794
Lao PDR,LAO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Lebanon,LBN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Libya,LBY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,18.46996929649
St. Lucia,LCA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Latin America & Caribbean,LCN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.976867593992837
Least developed countries: UN classification,LDC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.43052375507638
Low income,LIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.061230508251501
Sri Lanka,LKA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Lower middle income,LMC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,2.40025574132604
Low & middle income,LMY,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.40152643884714
Lesotho,LSO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Late-demographic dividend,LTE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.24420194871511
Lithuania,LTU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0344120578835305
Luxembourg,LUX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Latvia,LVA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
"Macao SAR, China",MAC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Morocco,MAR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0021638139354635
Moldova,MDA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0047067436384507
Madagascar,MDG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Maldives,MDV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Middle East & North Africa,MEA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,10.4158874487752
Mexico,MEX,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.35315775422196
Middle income,MIC,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,1.3751171510961
North Macedonia,MKD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Mali,MLI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Malta,MLT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Myanmar,MMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.011789110172058
Middle East & North Africa (excluding high income),MNA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,8.05731997011964
Mongolia,MNG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0203969735088117
Mozambique,MOZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Mauritania,MRT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Mauritius,MUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
Malawi,MWI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1997,0.0
